"Plot Title: SINDICON061424"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20809202, SEN S/N: 20809202)","Full Range, μS/cm (LGR S/N: 20809202, SEN S/N: 20809202)","Temp, °C (LGR S/N: 20809202, SEN S/N: 20809202)","Coupler Detached (LGR S/N: 20809202)","Coupler Attached (LGR S/N: 20809202)","Host Connected (LGR S/N: 20809202)","Stopped (LGR S/N: 20809202)","End Of File (LGR S/N: 20809202)"
88,06/15/24 01:00:00 PM,59.5,55.3,28.88,,,,,
89,06/15/24 01:15:00 PM,58.0,53.8,29.24,,,,,
90,06/15/24 01:30:00 PM,57.1,53.1,29.53,,,,,
91,06/15/24 01:45:00 PM,57.4,53.4,29.70,,,,,
92,06/15/24 02:00:00 PM,57.4,53.4,29.84,,,,,
93,06/15/24 02:15:00 PM,57.3,53.0,30.04,,,,,
94,06/15/24 02:30:00 PM,56.5,52.7,30.15,,,,,
95,06/15/24 02:45:00 PM,58.4,54.1,30.18,,,,,
96,06/15/24 03:00:00 PM,59.5,55.2,30.18,,,,,
97,06/15/24 03:15:00 PM,61.8,57.8,30.15,,,,,
98,06/15/24 03:30:00 PM,63.6,59.6,30.07,,,,,
99,06/15/24 03:45:00 PM,64.5,60.0,29.95,,,,,
100,06/15/24 04:00:00 PM,64.0,59.6,29.83,,,,,
101,06/15/24 04:15:00 PM,63.6,59.3,29.62,,,,,
102,06/15/24 04:30:00 PM,64.3,60.0,29.43,,,,,
103,06/15/24 04:45:00 PM,62.7,58.6,29.24,,,,,
104,06/15/24 05:00:00 PM,63.3,58.9,29.07,,,,,
105,06/15/24 05:15:00 PM,64.7,60.4,28.91,,,,,
106,06/15/24 05:30:00 PM,64.5,60.1,28.76,,,,,
107,06/15/24 05:45:00 PM,64.6,60.4,28.60,,,,,
108,06/15/24 06:00:00 PM,64.0,59.7,28.47,,,,,
109,06/15/24 06:15:00 PM,64.9,60.8,28.32,,,,,
110,06/15/24 06:30:00 PM,65.1,60.8,28.22,,,,,
111,06/15/24 06:45:00 PM,62.7,58.3,28.09,,,,,
112,06/15/24 07:00:00 PM,64.0,59.7,28.00,,,,,
113,06/15/24 07:15:00 PM,64.1,59.7,27.92,,,,,
114,06/15/24 07:30:00 PM,62.5,58.3,27.85,,,,,
115,06/15/24 07:45:00 PM,61.1,57.2,27.79,,,,,
116,06/15/24 08:00:00 PM,60.8,56.8,27.73,,,,,
117,06/15/24 08:15:00 PM,60.9,57.2,27.68,,,,,
118,06/15/24 08:30:00 PM,62.2,58.3,27.62,,,,,
119,06/15/24 08:45:00 PM,62.2,58.3,27.56,,,,,
120,06/15/24 09:00:00 PM,61.0,57.2,27.50,,,,,
121,06/15/24 09:15:00 PM,60.4,56.1,27.44,,,,,
122,06/15/24 09:30:00 PM,61.0,57.2,27.39,,,,,
123,06/15/24 09:45:00 PM,61.6,57.6,27.33,,,,,
124,06/15/24 10:00:00 PM,62.2,58.0,27.26,,,,,
125,06/15/24 10:15:00 PM,63.0,58.7,27.20,,,,,
126,06/15/24 10:30:00 PM,63.4,59.1,27.12,,,,,
127,06/15/24 10:45:00 PM,62.5,58.3,27.04,,,,,
128,06/15/24 11:00:00 PM,62.2,58.0,26.98,,,,,
129,06/15/24 11:15:00 PM,62.3,58.3,26.92,,,,,
130,06/15/24 11:30:00 PM,61.6,57.6,26.86,,,,,
131,06/15/24 11:45:00 PM,61.4,57.3,26.81,,,,,
132,06/16/24 12:00:00 AM,60.8,56.9,26.75,,,,,
133,06/16/24 12:15:00 AM,60.5,56.2,26.69,,,,,
134,06/16/24 12:30:00 AM,60.7,56.9,26.63,,,,,
135,06/16/24 12:45:00 AM,59.5,55.4,26.56,,,,,
136,06/16/24 01:00:00 AM,61.3,57.3,26.50,,,,,
137,06/16/24 01:15:00 AM,61.5,57.3,26.36,,,,,
138,06/16/24 01:30:00 AM,55.0,50.7,26.21,,,,,
139,06/16/24 01:45:00 AM,53.9,50.0,26.08,,,,,
140,06/16/24 02:00:00 AM,51.8,48.1,26.02,,,,,
141,06/16/24 02:15:00 AM,48.7,44.5,25.90,,,,,
142,06/16/24 02:30:00 AM,45.3,41.6,25.76,,,,,
143,06/16/24 02:45:00 AM,50.6,46.7,25.30,,,,,
144,06/16/24 03:00:00 AM,40.8,37.2,24.77,,,,,
145,06/16/24 03:15:00 AM,33.0,29.5,24.67,,,,,
146,06/16/24 03:30:00 AM,33.3,29.5,24.66,,,,,
147,06/16/24 03:45:00 AM,36.5,32.8,24.51,,,,,
148,06/16/24 04:00:00 AM,27.7,24.4,24.42,,,,,
149,06/16/24 04:15:00 AM,23.6,20.7,24.32,,,,,
150,06/16/24 04:30:00 AM,20.0,17.5,24.25,,,,,
151,06/16/24 04:45:00 AM,17.7,15.3,24.18,,,,,
152,06/16/24 05:00:00 AM,16.6,14.9,24.17,,,,,
153,06/16/24 05:15:00 AM,16.1,13.8,24.14,,,,,
154,06/16/24 05:30:00 AM,16.4,14.2,24.15,,,,,
155,06/16/24 05:45:00 AM,16.7,14.5,24.17,,,,,
156,06/16/24 06:00:00 AM,16.8,14.5,24.17,,,,,
157,06/16/24 06:15:00 AM,17.1,14.9,24.18,,,,,
158,06/16/24 06:30:00 AM,17.3,15.3,24.18,,,,,
159,06/16/24 06:45:00 AM,17.6,15.3,24.21,,,,,
160,06/16/24 07:00:00 AM,18.1,15.6,24.20,,,,,
161,06/16/24 07:15:00 AM,18.5,16.0,24.23,,,,,
162,06/16/24 07:30:00 AM,18.9,16.7,24.25,,,,,
163,06/16/24 07:45:00 AM,19.2,16.4,24.27,,,,,
164,06/16/24 08:00:00 AM,19.6,17.1,24.29,,,,,
165,06/16/24 08:15:00 AM,20.0,17.5,24.32,,,,,
166,06/16/24 08:30:00 AM,20.4,17.4,24.33,,,,,
167,06/16/24 08:45:00 AM,20.9,18.2,24.35,,,,,
168,06/16/24 09:00:00 AM,21.5,18.5,24.37,,,,,
169,06/16/24 09:15:00 AM,21.6,18.9,24.37,,,,,
170,06/16/24 09:30:00 AM,21.9,18.9,24.39,,,,,
171,06/16/24 09:45:00 AM,22.5,19.6,24.42,,,,,
172,06/16/24 10:00:00 AM,22.7,19.6,24.43,,,,,
173,06/16/24 10:15:00 AM,23.1,20.0,24.45,,,,,
174,06/16/24 10:30:00 AM,23.5,20.7,24.48,,,,,
175,06/16/24 10:45:00 AM,23.8,21.1,24.52,,,,,
176,06/16/24 11:00:00 AM,24.2,21.5,24.56,,,,,
177,06/16/24 11:15:00 AM,24.5,21.5,24.61,,,,,
178,06/16/24 11:30:00 AM,25.0,21.8,24.68,,,,,
179,06/16/24 11:45:00 AM,25.2,22.6,24.77,,,,,
180,06/16/24 12:00:00 PM,25.7,22.6,24.83,,,,,
181,06/16/24 12:15:00 PM,25.9,22.9,24.89,,,,,
182,06/16/24 12:30:00 PM,26.1,22.9,24.93,,,,,
183,06/16/24 12:45:00 PM,26.4,23.3,24.97,,,,,
184,06/16/24 01:00:00 PM,26.7,23.7,24.97,,,,,
185,06/16/24 01:15:00 PM,1.1,-1.6,25.71,,,,,
186,06/16/24 01:30:00 PM,1.9,-1.2,26.38,,,,,
187,06/16/24 01:45:00 PM,1.4,-0.8,26.35,,,,,
188,06/16/24 02:00:00 PM,1.2,-1.6,26.42,,,,,
189,06/16/24 02:15:00 PM,1.0,-1.6,26.47,,,,,
190,06/16/24 02:30:00 PM,0.9,-1.6,26.49,,,,,
191,06/16/24 02:45:00 PM,0.8,-0.8,26.38,,,,,
192,06/16/24 03:00:00 PM,0.9,-0.8,26.29,,,,,
193,06/16/24 03:15:00 PM,0.7,-0.8,26.13,,,,,
194,06/16/24 03:30:00 PM,0.7,-0.5,26.05,,,,,
195,06/16/24 03:45:00 PM,0.7,-0.5,26.02,,,,,
196,06/16/24 04:00:00 PM,0.6,-1.6,25.96,,,,,
197,06/16/24 04:15:00 PM,0.6,-1.6,25.84,,,,,
198,06/16/24 04:30:00 PM,0.6,0.6,25.71,,,,,
199,06/16/24 04:45:00 PM,0.5,-0.5,25.54,,,,,
200,06/16/24 05:00:00 PM,0.6,-0.5,25.36,,,,,
201,06/16/24 05:15:00 PM,0.5,-0.5,25.18,,,,,
202,06/16/24 05:30:00 PM,0.5,-0.5,25.03,,,,,
203,06/16/24 05:45:00 PM,0.4,-0.5,24.89,,,,,
204,06/16/24 06:00:00 PM,0.5,-0.5,24.74,,,,,
205,06/16/24 06:15:00 PM,0.6,-0.5,24.60,,,,,
206,06/16/24 06:30:00 PM,0.5,-0.5,24.49,,,,,
207,06/16/24 06:45:00 PM,0.4,-0.5,24.42,,,,,
208,06/16/24 07:00:00 PM,0.4,-0.5,24.33,,,,,
209,06/16/24 07:15:00 PM,0.4,-0.5,24.25,,,,,
210,06/16/24 07:30:00 PM,0.4,7.2,24.18,,,,,
211,06/16/24 07:45:00 PM,0.4,7.2,24.15,,,,,
212,06/16/24 08:00:00 PM,0.5,-0.5,24.09,,,,,
213,06/16/24 08:15:00 PM,0.5,-0.5,24.04,,,,,
214,06/16/24 08:30:00 PM,0.4,-0.5,23.98,,,,,
215,06/16/24 08:45:00 PM,0.4,-0.5,23.94,,,,,
216,06/16/24 09:00:00 PM,0.5,-0.5,23.86,,,,,
217,06/16/24 09:15:00 PM,0.4,-0.5,23.83,,,,,
218,06/16/24 09:30:00 PM,0.4,7.2,23.80,,,,,
219,06/16/24 09:45:00 PM,0.4,-0.5,23.78,,,,,
220,06/16/24 10:00:00 PM,0.4,7.2,23.77,,,,,
221,06/16/24 10:15:00 PM,0.4,-0.5,23.76,,,,,
222,06/16/24 10:30:00 PM,0.7,7.2,23.77,,,,,
223,06/16/24 10:45:00 PM,0.4,-0.5,23.75,,,,,
224,06/16/24 11:00:00 PM,0.4,7.2,23.67,,,,,
225,06/16/24 11:15:00 PM,0.4,7.2,23.58,,,,,
226,06/16/24 11:30:00 PM,0.4,-0.5,23.49,,,,,
227,06/16/24 11:45:00 PM,0.4,16.7,23.43,,,,,
228,06/17/24 12:00:00 AM,0.4,7.2,23.40,,,,,
229,06/17/24 12:15:00 AM,0.4,7.2,23.40,,,,,
230,06/17/24 12:30:00 AM,0.4,16.7,23.35,,,,,
231,06/17/24 12:45:00 AM,0.4,7.2,23.36,,,,,
232,06/17/24 01:00:00 AM,0.4,7.2,23.36,,,,,
233,06/17/24 01:15:00 AM,0.4,7.2,23.33,,,,,
234,06/17/24 01:30:00 AM,0.4,7.2,23.31,,,,,
235,06/17/24 01:45:00 AM,0.4,7.2,23.29,,,,,
236,06/17/24 02:00:00 AM,0.6,-0.5,23.24,,,,,
237,06/17/24 02:15:00 AM,0.4,16.7,23.20,,,,,
238,06/17/24 02:30:00 AM,0.6,-0.5,23.16,,,,,
239,06/17/24 02:45:00 AM,0.4,7.2,23.14,,,,,
240,06/17/24 03:00:00 AM,0.4,7.2,23.09,,,,,
241,06/17/24 03:15:00 AM,0.4,-0.5,23.03,,,,,
242,06/17/24 03:30:00 AM,0.6,7.2,22.97,,,,,
243,06/17/24 03:45:00 AM,0.6,7.2,22.92,,,,,
244,06/17/24 04:00:00 AM,0.6,7.2,22.84,,,,,
245,06/17/24 04:15:00 AM,0.4,16.8,22.75,,,,,
246,06/17/24 04:30:00 AM,0.4,7.2,22.69,,,,,
247,06/17/24 04:45:00 AM,0.6,16.8,22.61,,,,,
248,06/17/24 05:00:00 AM,0.4,7.2,22.56,,,,,
249,06/17/24 05:15:00 AM,0.6,7.2,22.44,,,,,
250,06/17/24 05:30:00 AM,0.4,7.2,22.35,,,,,
251,06/17/24 05:45:00 AM,0.4,7.2,22.31,,,,,
252,06/17/24 06:00:00 AM,0.4,16.8,22.29,,,,,
253,06/17/24 06:15:00 AM,0.6,7.2,22.36,,,,,
254,06/17/24 06:30:00 AM,0.6,7.2,22.52,,,,,
255,06/17/24 06:45:00 AM,0.4,16.8,22.73,,,,,
256,06/17/24 07:00:00 AM,0.6,16.7,22.99,,,,,
257,06/17/24 07:15:00 AM,0.4,7.2,23.31,,,,,
258,06/17/24 07:30:00 AM,0.4,7.2,23.60,,,,,
259,06/17/24 07:45:00 AM,0.4,7.2,23.92,,,,,
260,06/17/24 08:00:00 AM,0.4,7.2,24.29,,,,,
261,06/17/24 08:15:00 AM,0.4,-0.5,24.80,,,,,
262,06/17/24 08:30:00 AM,0.5,-0.5,25.33,,,,,
263,06/17/24 08:45:00 AM,0.4,-0.5,25.78,,,,,
264,06/17/24 09:00:00 AM,0.5,-0.5,26.22,,,,,
265,06/17/24 09:15:00 AM,0.6,-0.5,26.52,,,,,
266,06/17/24 09:30:00 AM,0.5,-0.5,26.82,,,,,
267,06/17/24 09:45:00 AM,0.6,-0.5,27.13,,,,,
268,06/17/24 10:00:00 AM,0.4,-0.5,27.41,,,,,
269,06/17/24 10:15:00 AM,0.4,-0.5,27.74,,,,,
270,06/17/24 10:30:00 AM,0.4,7.2,27.91,,,,,
271,06/17/24 10:45:00 AM,2.3,2.1,28.22,,,,,
272,06/17/24 11:00:00 AM,2.5,2.1,28.57,,,,,
273,06/17/24 11:15:00 AM,2.3,2.1,28.88,,,,,
274,06/17/24 11:30:00 AM,2.5,2.1,29.05,,,,,
275,06/17/24 11:45:00 AM,2.5,2.1,29.16,,,,,
276,06/17/24 12:00:00 PM,2.5,-0.5,29.54,,,,,
277,06/17/24 12:15:00 PM,1.1,-0.5,29.96,,,,,
278,06/17/24 12:30:00 PM,2.3,2.1,30.24,,,,,
279,06/17/24 12:45:00 PM,2.5,2.1,30.35,,,,,
280,06/17/24 01:00:00 PM,2.3,2.1,30.58,,,,,
281,06/17/24 01:15:00 PM,1.2,2.1,30.81,,,,,
282,06/17/24 01:30:00 PM,2.3,2.1,30.90,,,,,
283,06/17/24 01:45:00 PM,2.3,-0.5,31.12,,,,,
284,06/17/24 02:00:00 PM,2.5,2.1,31.31,,,,,
285,06/17/24 02:15:00 PM,2.5,2.1,31.48,,,,,
286,06/17/24 02:30:00 PM,1.1,2.0,31.58,,,,,
287,06/17/24 02:45:00 PM,2.5,2.1,31.54,,,,,
288,06/17/24 03:00:00 PM,2.5,-0.5,31.62,,,,,
289,06/17/24 03:15:00 PM,2.3,2.0,31.62,,,,,
290,06/17/24 03:30:00 PM,2.5,2.1,31.53,,,,,
291,06/17/24 03:45:00 PM,2.5,2.1,31.41,,,,,
292,06/17/24 04:00:00 PM,2.5,2.1,31.07,,,,,
293,06/17/24 04:15:00 PM,2.5,2.1,30.73,,,,,
294,06/17/24 04:30:00 PM,2.3,2.1,30.39,,,,,
295,06/17/24 04:45:00 PM,2.3,2.1,30.09,,,,,
296,06/17/24 05:00:00 PM,2.5,2.1,29.71,,,,,
297,06/17/24 05:15:00 PM,2.5,2.1,29.21,,,,,
298,06/17/24 05:30:00 PM,1.1,2.1,28.75,,,,,
299,06/17/24 05:45:00 PM,2.3,2.1,28.30,,,,,
300,06/17/24 06:00:00 PM,1.1,2.1,27.91,,,,,
301,06/17/24 06:15:00 PM,2.3,2.1,27.54,,,,,
302,06/17/24 06:30:00 PM,2.5,-0.5,27.21,,,,,
303,06/17/24 06:45:00 PM,2.5,2.1,26.94,,,,,
304,06/17/24 07:00:00 PM,2.5,2.1,26.73,,,,,
305,06/17/24 07:15:00 PM,2.3,2.1,26.56,,,,,
306,06/17/24 07:30:00 PM,2.5,2.1,26.47,,,,,
307,06/17/24 07:45:00 PM,2.3,2.1,26.38,,,,,
308,06/17/24 08:00:00 PM,2.5,2.1,26.31,,,,,
309,06/17/24 08:15:00 PM,1.1,-0.5,26.22,,,,,
310,06/17/24 08:30:00 PM,1.2,2.1,26.19,,,,,
311,06/17/24 08:45:00 PM,2.5,2.1,26.18,,,,,
312,06/17/24 09:00:00 PM,2.3,2.1,26.10,,,,,
313,06/17/24 09:15:00 PM,2.5,2.1,26.02,,,,,
314,06/17/24 09:30:00 PM,1.2,2.1,25.93,,,,,
315,06/17/24 09:45:00 PM,1.1,2.1,25.87,,,,,
316,06/17/24 10:00:00 PM,1.2,-0.5,25.81,,,,,
317,06/17/24 10:15:00 PM,2.5,2.1,25.78,,,,,
318,06/17/24 10:30:00 PM,2.5,2.1,25.69,,,,,
319,06/17/24 10:45:00 PM,2.3,2.1,25.61,,,,,
320,06/17/24 11:00:00 PM,2.3,2.1,25.58,,,,,
321,06/17/24 11:15:00 PM,2.5,-0.5,25.51,,,,,
322,06/17/24 11:30:00 PM,2.5,2.1,25.39,,,,,
323,06/17/24 11:45:00 PM,1.1,-1.9,25.28,,,,,
324,06/18/24 12:00:00 AM,1.2,-0.5,25.19,,,,,
325,06/18/24 12:15:00 AM,2.5,2.1,25.11,,,,,
326,06/18/24 12:30:00 AM,2.5,2.1,25.02,,,,,
327,06/18/24 12:45:00 AM,2.5,2.1,24.95,,,,,
328,06/18/24 01:00:00 AM,2.5,2.1,24.89,,,,,
329,06/18/24 01:15:00 AM,2.5,-0.5,24.82,,,,,
330,06/18/24 01:30:00 AM,2.5,2.1,24.71,,,,,
331,06/18/24 01:45:00 AM,1.1,2.1,24.60,,,,,
332,06/18/24 02:00:00 AM,2.5,2.1,24.49,,,,,
333,06/18/24 02:15:00 AM,2.5,2.1,24.44,,,,,
334,06/18/24 02:30:00 AM,1.1,2.1,24.40,,,,,
335,06/18/24 02:45:00 AM,2.5,2.1,24.37,,,,,
336,06/18/24 03:00:00 AM,2.5,2.1,24.33,,,,,
337,06/18/24 03:15:00 AM,2.5,2.1,24.29,,,,,
338,06/18/24 03:30:00 AM,2.3,2.1,24.28,,,,,
339,06/18/24 03:45:00 AM,2.3,2.1,24.23,,,,,
340,06/18/24 04:00:00 AM,1.1,2.1,24.17,,,,,
341,06/18/24 04:15:00 AM,2.5,2.1,24.09,,,,,
342,06/18/24 04:30:00 AM,2.3,2.1,23.99,,,,,
343,06/18/24 04:45:00 AM,8.8,2.1,23.89,,,,,
344,06/18/24 05:00:00 AM,2.3,2.1,23.80,,,,,
345,06/18/24 05:15:00 AM,2.5,2.1,23.70,,,,,
346,06/18/24 05:30:00 AM,2.5,2.1,23.64,,,,,
347,06/18/24 05:45:00 AM,1.2,2.1,23.66,,,,,
348,06/18/24 06:00:00 AM,1.1,2.1,23.71,,,,,
349,06/18/24 06:15:00 AM,2.3,2.1,23.81,,,,,
350,06/18/24 06:30:00 AM,2.3,2.1,23.92,,,,,
351,06/18/24 06:45:00 AM,2.5,2.1,24.03,,,,,
352,06/18/24 07:00:00 AM,2.5,2.1,24.15,,,,,
353,06/18/24 07:15:00 AM,8.8,2.1,24.27,,,,,
354,06/18/24 07:30:00 AM,2.5,2.1,24.44,,,,,
355,06/18/24 07:45:00 AM,2.3,2.1,24.63,,,,,
356,06/18/24 08:00:00 AM,2.5,2.1,24.83,,,,,
357,06/18/24 08:15:00 AM,2.5,2.1,25.08,,,,,
358,06/18/24 08:30:00 AM,2.5,2.1,25.39,,,,,
359,06/18/24 08:45:00 AM,2.5,2.1,25.70,,,,,
360,06/18/24 09:00:00 AM,2.3,2.1,26.08,,,,,
361,06/18/24 09:15:00 AM,1.1,-1.6,26.50,,,,,
362,06/18/24 09:30:00 AM,2.5,2.1,27.00,,,,,
363,06/18/24 09:45:00 AM,1.2,2.1,27.45,,,,,
364,06/18/24 10:00:00 AM,2.3,2.1,27.92,,,,,
365,06/18/24 10:15:00 AM,2.5,2.1,28.48,,,,,
366,06/18/24 10:30:00 AM,2.3,2.1,28.70,,,,,
367,06/18/24 10:45:00 AM,2.3,2.1,29.02,,,,,
368,06/18/24 11:00:00 AM,2.5,2.1,29.31,,,,,
369,06/18/24 11:15:00 AM,2.5,-0.5,29.54,,,,,
370,06/18/24 11:30:00 AM,2.3,2.1,29.71,,,,,
371,06/18/24 11:45:00 AM,2.5,-0.5,29.95,,,,,
372,06/18/24 12:00:00 PM,2.5,2.1,29.89,,,,,
373,06/18/24 12:15:00 PM,2.3,2.1,30.16,,,,,
374,06/18/24 12:30:00 PM,2.3,-0.5,30.30,,,,,
375,06/18/24 12:45:00 PM,2.3,2.1,30.49,,,,,
376,06/18/24 01:00:00 PM,2.5,2.1,30.86,,,,,
377,06/18/24 01:15:00 PM,2.3,2.1,31.54,,,,,
378,06/18/24 01:30:00 PM,2.5,2.0,31.58,,,,,
379,06/18/24 01:45:00 PM,2.3,2.0,31.66,,,,,
380,06/18/24 02:00:00 PM,2.3,2.0,31.79,,,,,
381,06/18/24 02:15:00 PM,1.1,-0.5,31.88,,,,,
382,06/18/24 02:30:00 PM,1.2,-0.5,32.08,,,,,
383,06/18/24 02:45:00 PM,2.5,2.0,32.31,,,,,
384,06/18/24 03:00:00 PM,2.3,2.0,32.50,,,,,
385,06/18/24 03:15:00 PM,1.1,2.0,32.68,,,,,
386,06/18/24 03:30:00 PM,2.3,2.0,32.64,,,,,
387,06/18/24 03:45:00 PM,2.5,2.0,32.25,,,,,
388,06/18/24 04:00:00 PM,2.3,2.0,31.66,,,,,
389,06/18/24 04:15:00 PM,2.3,2.1,31.08,,,,,
390,06/18/24 04:30:00 PM,2.5,2.1,30.60,,,,,
391,06/18/24 04:45:00 PM,2.3,2.1,30.21,,,,,
392,06/18/24 05:00:00 PM,2.3,2.1,29.85,,,,,
393,06/18/24 05:15:00 PM,2.3,2.1,29.41,,,,,
394,06/18/24 05:30:00 PM,2.3,2.1,28.93,,,,,
395,06/18/24 05:45:00 PM,1.2,2.1,28.56,,,,,
396,06/18/24 06:00:00 PM,5.8,-0.5,28.25,,,,,
