"Plot Title: SINDIDO061424"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20815614, SEN S/N: 20815614)","Temp, °C (LGR S/N: 20815614, SEN S/N: 20815614)","Coupler Attached (LGR S/N: 20815614)","Host Connected (LGR S/N: 20815614)","Stopped (LGR S/N: 20815614)","End Of File (LGR S/N: 20815614)"
39,06/15/24 12:45:00 AM,6.16,25.18,,,,
40,06/15/24 01:00:00 AM,6.17,25.14,,,,
41,06/15/24 01:15:00 AM,6.16,25.10,,,,
42,06/15/24 01:30:00 AM,6.17,25.04,,,,
43,06/15/24 01:45:00 AM,6.16,25.02,,,,
44,06/15/24 02:00:00 AM,6.17,25.00,,,,
45,06/15/24 02:15:00 AM,6.17,24.96,,,,
46,06/15/24 02:30:00 AM,6.19,24.92,,,,
47,06/15/24 02:45:00 AM,6.18,24.88,,,,
48,06/15/24 03:00:00 AM,6.19,24.86,,,,
49,06/15/24 03:15:00 AM,6.18,24.80,,,,
50,06/15/24 03:30:00 AM,6.19,24.78,,,,
51,06/15/24 03:45:00 AM,6.19,24.74,,,,
52,06/15/24 04:00:00 AM,6.19,24.72,,,,
53,06/15/24 04:15:00 AM,6.20,24.70,,,,
54,06/15/24 04:30:00 AM,6.20,24.66,,,,
55,06/15/24 04:45:00 AM,6.20,24.64,,,,
56,06/15/24 05:00:00 AM,6.22,24.62,,,,
57,06/15/24 05:15:00 AM,6.21,24.58,,,,
58,06/15/24 05:30:00 AM,6.21,24.56,,,,
59,06/15/24 05:45:00 AM,6.25,24.54,,,,
60,06/15/24 06:00:00 AM,6.27,24.54,,,,
61,06/15/24 06:15:00 AM,6.28,24.52,,,,
62,06/15/24 06:30:00 AM,6.31,24.52,,,,
63,06/15/24 06:45:00 AM,6.33,24.54,,,,
64,06/15/24 07:00:00 AM,6.37,24.54,,,,
65,06/15/24 07:15:00 AM,6.37,24.56,,,,
66,06/15/24 07:30:00 AM,6.41,24.58,,,,
67,06/15/24 07:45:00 AM,6.47,24.64,,,,
68,06/15/24 08:00:00 AM,6.53,24.70,,,,
69,06/15/24 08:15:00 AM,6.59,24.80,,,,
70,06/15/24 08:30:00 AM,6.63,24.94,,,,
71,06/15/24 08:45:00 AM,6.64,25.04,,,,
72,06/15/24 09:00:00 AM,6.65,25.16,,,,
73,06/15/24 09:15:00 AM,6.69,25.30,,,,
74,06/15/24 09:30:00 AM,6.69,25.44,,,,
75,06/15/24 09:45:00 AM,6.70,25.62,,,,
76,06/15/24 10:00:00 AM,6.71,25.78,,,,
77,06/15/24 10:15:00 AM,6.69,25.92,,,,
78,06/15/24 10:30:00 AM,6.68,26.06,,,,
79,06/15/24 10:45:00 AM,6.68,26.16,,,,
80,06/15/24 11:00:00 AM,6.68,26.32,,,,
81,06/15/24 11:15:00 AM,6.67,26.44,,,,
82,06/15/24 11:30:00 AM,6.67,26.58,,,,
83,06/15/24 11:45:00 AM,6.65,26.70,,,,
84,06/15/24 12:00:00 PM,6.63,26.76,,,,
85,06/15/24 12:15:00 PM,6.65,26.88,,,,
86,06/15/24 12:30:00 PM,6.66,27.10,,,,
87,06/15/24 12:45:00 PM,6.66,27.32,,,,
88,06/15/24 01:00:00 PM,6.66,27.68,,,,
89,06/15/24 01:15:00 PM,6.69,28.04,,,,
90,06/15/24 01:30:00 PM,6.68,28.32,,,,
91,06/15/24 01:45:00 PM,6.61,28.50,,,,
92,06/15/24 02:00:00 PM,6.56,28.66,,,,
93,06/15/24 02:15:00 PM,6.52,28.84,,,,
94,06/15/24 02:30:00 PM,6.47,28.96,,,,
95,06/15/24 02:45:00 PM,6.40,29.00,,,,
96,06/15/24 03:00:00 PM,6.37,29.02,,,,
97,06/15/24 03:15:00 PM,6.33,28.98,,,,
98,06/15/24 03:30:00 PM,6.28,28.90,,,,
99,06/15/24 03:45:00 PM,6.26,28.78,,,,
100,06/15/24 04:00:00 PM,6.19,28.66,,,,
101,06/15/24 04:15:00 PM,6.10,28.46,,,,
102,06/15/24 04:30:00 PM,6.04,28.28,,,,
103,06/15/24 04:45:00 PM,6.00,28.08,,,,
104,06/15/24 05:00:00 PM,5.98,27.92,,,,
105,06/15/24 05:15:00 PM,5.95,27.76,,,,
106,06/15/24 05:30:00 PM,5.94,27.60,,,,
107,06/15/24 05:45:00 PM,5.91,27.44,,,,
108,06/15/24 06:00:00 PM,5.91,27.30,,,,
109,06/15/24 06:15:00 PM,5.91,27.16,,,,
110,06/15/24 06:30:00 PM,5.89,27.04,,,,
111,06/15/24 06:45:00 PM,5.91,26.94,,,,
112,06/15/24 07:00:00 PM,5.91,26.84,,,,
113,06/15/24 07:15:00 PM,5.92,26.76,,,,
114,06/15/24 07:30:00 PM,5.92,26.70,,,,
115,06/15/24 07:45:00 PM,5.93,26.64,,,,
116,06/15/24 08:00:00 PM,5.94,26.58,,,,
117,06/15/24 08:15:00 PM,5.95,26.52,,,,
118,06/15/24 08:30:00 PM,5.94,26.46,,,,
119,06/15/24 08:45:00 PM,5.95,26.40,,,,
120,06/15/24 09:00:00 PM,5.96,26.34,,,,
121,06/15/24 09:15:00 PM,5.97,26.28,,,,
122,06/15/24 09:30:00 PM,5.98,26.22,,,,
123,06/15/24 09:45:00 PM,5.97,26.16,,,,
124,06/15/24 10:00:00 PM,5.99,26.10,,,,
125,06/15/24 10:15:00 PM,6.00,26.04,,,,
126,06/15/24 10:30:00 PM,6.00,25.96,,,,
127,06/15/24 10:45:00 PM,6.00,25.88,,,,
128,06/15/24 11:00:00 PM,6.02,25.82,,,,
129,06/15/24 11:15:00 PM,6.03,25.76,,,,
130,06/15/24 11:30:00 PM,6.03,25.70,,,,
131,06/15/24 11:45:00 PM,6.03,25.64,,,,
132,06/16/24 12:00:00 AM,6.05,25.58,,,,
133,06/16/24 12:15:00 AM,6.04,25.52,,,,
134,06/16/24 12:30:00 AM,6.06,25.46,,,,
135,06/16/24 12:45:00 AM,6.07,25.42,,,,
136,06/16/24 01:00:00 AM,6.10,25.34,,,,
137,06/16/24 01:15:00 AM,6.15,25.22,,,,
138,06/16/24 01:30:00 AM,6.14,25.08,,,,
139,06/16/24 01:45:00 AM,6.19,24.98,,,,
140,06/16/24 02:00:00 AM,6.21,24.90,,,,
141,06/16/24 02:15:00 AM,6.23,24.78,,,,
142,06/16/24 02:30:00 AM,6.36,24.66,,,,
143,06/16/24 02:45:00 AM,6.50,24.34,,,,
144,06/16/24 03:00:00 AM,6.63,23.78,,,,
145,06/16/24 03:15:00 AM,6.54,23.62,,,,
146,06/16/24 03:30:00 AM,6.40,23.56,,,,
147,06/16/24 03:45:00 AM,6.37,23.46,,,,
148,06/16/24 04:00:00 AM,6.43,23.32,,,,
149,06/16/24 04:15:00 AM,6.48,23.22,,,,
150,06/16/24 04:30:00 AM,6.52,23.14,,,,
151,06/16/24 04:45:00 AM,6.54,23.08,,,,
152,06/16/24 05:00:00 AM,6.54,23.06,,,,
153,06/16/24 05:15:00 AM,6.52,23.04,,,,
154,06/16/24 05:30:00 AM,6.50,23.06,,,,
155,06/16/24 05:45:00 AM,6.51,23.06,,,,
156,06/16/24 06:00:00 AM,6.49,23.08,,,,
157,06/16/24 06:15:00 AM,6.50,23.10,,,,
158,06/16/24 06:30:00 AM,6.55,23.10,,,,
159,06/16/24 06:45:00 AM,6.54,23.12,,,,
160,06/16/24 07:00:00 AM,6.59,23.10,,,,
161,06/16/24 07:15:00 AM,6.63,23.10,,,,
162,06/16/24 07:30:00 AM,6.65,23.12,,,,
163,06/16/24 07:45:00 AM,6.66,23.14,,,,
164,06/16/24 08:00:00 AM,6.67,23.16,,,,
165,06/16/24 08:15:00 AM,6.66,23.18,,,,
166,06/16/24 08:30:00 AM,6.67,23.20,,,,
167,06/16/24 08:45:00 AM,6.68,23.22,,,,
168,06/16/24 09:00:00 AM,6.68,23.24,,,,
169,06/16/24 09:15:00 AM,6.67,23.24,,,,
170,06/16/24 09:30:00 AM,6.69,23.26,,,,
171,06/16/24 09:45:00 AM,6.68,23.28,,,,
172,06/16/24 10:00:00 AM,6.67,23.28,,,,
173,06/16/24 10:15:00 AM,6.67,23.30,,,,
174,06/16/24 10:30:00 AM,6.67,23.34,,,,
175,06/16/24 10:45:00 AM,6.67,23.36,,,,
176,06/16/24 11:00:00 AM,6.67,23.42,,,,
177,06/16/24 11:15:00 AM,6.66,23.46,,,,
178,06/16/24 11:30:00 AM,6.67,23.52,,,,
179,06/16/24 11:45:00 AM,6.66,23.62,,,,
180,06/16/24 12:00:00 PM,6.65,23.70,,,,
181,06/16/24 12:15:00 PM,6.65,23.74,,,,
182,06/16/24 12:30:00 PM,6.64,23.78,,,,
183,06/16/24 12:45:00 PM,6.64,23.82,,,,
184,06/16/24 01:00:00 PM,6.63,23.84,,,,
185,06/16/24 01:15:00 PM,6.64,23.88,,,,
186,06/16/24 01:30:00 PM,6.34,25.92,,,,
187,06/16/24 01:45:00 PM,6.43,25.40,,,,
188,06/16/24 02:00:00 PM,6.46,25.20,,,,
189,06/16/24 02:15:00 PM,6.47,25.08,,,,
190,06/16/24 02:30:00 PM,6.48,25.04,,,,
191,06/16/24 02:45:00 PM,6.48,25.02,,,,
192,06/16/24 03:00:00 PM,6.49,24.96,,,,
193,06/16/24 03:15:00 PM,6.50,24.80,,,,
194,06/16/24 03:30:00 PM,6.52,24.78,,,,
195,06/16/24 03:45:00 PM,6.52,24.78,,,,
196,06/16/24 04:00:00 PM,6.52,24.76,,,,
197,06/16/24 04:15:00 PM,6.53,24.72,,,,
198,06/16/24 04:30:00 PM,6.52,24.64,,,,
199,06/16/24 04:45:00 PM,6.54,24.56,,,,
200,06/16/24 05:00:00 PM,6.56,24.44,,,,
201,06/16/24 05:15:00 PM,6.56,24.30,,,,
202,06/16/24 05:30:00 PM,6.59,24.18,,,,
203,06/16/24 05:45:00 PM,6.61,24.06,,,,
204,06/16/24 06:00:00 PM,6.61,23.90,,,,
205,06/16/24 06:15:00 PM,6.64,23.74,,,,
206,06/16/24 06:30:00 PM,6.64,23.64,,,,
207,06/16/24 06:45:00 PM,6.67,23.56,,,,
208,06/16/24 07:00:00 PM,6.68,23.44,,,,
209,06/16/24 07:15:00 PM,6.69,23.36,,,,
210,06/16/24 07:30:00 PM,6.69,23.32,,,,
211,06/16/24 07:45:00 PM,6.72,23.24,,,,
212,06/16/24 08:00:00 PM,6.73,23.18,,,,
213,06/16/24 08:15:00 PM,6.72,23.14,,,,
214,06/16/24 08:30:00 PM,6.74,23.08,,,,
215,06/16/24 08:45:00 PM,6.75,23.02,,,,
216,06/16/24 09:00:00 PM,6.76,22.94,,,,
217,06/16/24 09:15:00 PM,6.75,22.90,,,,
218,06/16/24 09:30:00 PM,6.76,22.84,,,,
219,06/16/24 09:45:00 PM,6.78,22.82,,,,
220,06/16/24 10:00:00 PM,6.78,22.80,,,,
221,06/16/24 10:15:00 PM,6.77,22.80,,,,
222,06/16/24 10:30:00 PM,6.78,22.78,,,,
223,06/16/24 10:45:00 PM,6.78,22.76,,,,
224,06/16/24 11:00:00 PM,6.79,22.72,,,,
225,06/16/24 11:15:00 PM,6.78,22.66,,,,
226,06/16/24 11:30:00 PM,6.79,22.56,,,,
227,06/16/24 11:45:00 PM,6.80,22.52,,,,
228,06/17/24 12:00:00 AM,6.80,22.48,,,,
229,06/17/24 12:15:00 AM,6.82,22.46,,,,
230,06/17/24 12:30:00 AM,6.81,22.40,,,,
231,06/17/24 12:45:00 AM,6.82,22.40,,,,
232,06/17/24 01:00:00 AM,6.82,22.40,,,,
233,06/17/24 01:15:00 AM,6.82,22.38,,,,
234,06/17/24 01:30:00 AM,6.82,22.36,,,,
235,06/17/24 01:45:00 AM,6.83,22.34,,,,
236,06/17/24 02:00:00 AM,6.82,22.30,,,,
237,06/17/24 02:15:00 AM,6.82,22.28,,,,
238,06/17/24 02:30:00 AM,6.83,22.26,,,,
239,06/17/24 02:45:00 AM,6.84,22.22,,,,
240,06/17/24 03:00:00 AM,6.84,22.20,,,,
241,06/17/24 03:15:00 AM,6.84,22.14,,,,
242,06/17/24 03:30:00 AM,6.84,22.10,,,,
243,06/17/24 03:45:00 AM,6.85,22.04,,,,
244,06/17/24 04:00:00 AM,6.86,21.98,,,,
245,06/17/24 04:15:00 AM,6.86,21.92,,,,
246,06/17/24 04:30:00 AM,6.87,21.86,,,,
247,06/17/24 04:45:00 AM,6.88,21.80,,,,
248,06/17/24 05:00:00 AM,6.89,21.74,,,,
249,06/17/24 05:15:00 AM,6.90,21.66,,,,
250,06/17/24 05:30:00 AM,6.90,21.60,,,,
251,06/17/24 05:45:00 AM,6.91,21.54,,,,
252,06/17/24 06:00:00 AM,6.93,21.50,,,,
253,06/17/24 06:15:00 AM,6.93,21.48,,,,
254,06/17/24 06:30:00 AM,6.92,21.52,,,,
255,06/17/24 06:45:00 AM,6.92,21.62,,,,
256,06/17/24 07:00:00 AM,6.91,21.78,,,,
257,06/17/24 07:15:00 AM,6.89,21.96,,,,
258,06/17/24 07:30:00 AM,6.86,22.18,,,,
259,06/17/24 07:45:00 AM,6.84,22.40,,,,
260,06/17/24 08:00:00 AM,6.81,22.66,,,,
261,06/17/24 08:15:00 AM,6.78,22.98,,,,
262,06/17/24 08:30:00 AM,6.73,23.44,,,,
263,06/17/24 08:45:00 AM,6.68,23.88,,,,
264,06/17/24 09:00:00 AM,6.64,24.32,,,,
265,06/17/24 09:15:00 AM,6.59,24.64,,,,
266,06/17/24 09:30:00 AM,6.55,24.96,,,,
267,06/17/24 09:45:00 AM,6.52,25.24,,,,
268,06/17/24 10:00:00 AM,6.47,25.58,,,,
269,06/17/24 10:15:00 AM,6.44,25.88,,,,
270,06/17/24 10:30:00 AM,6.37,26.26,,,,
271,06/17/24 10:45:00 AM,6.35,26.56,,,,
272,06/17/24 11:00:00 AM,6.30,26.84,,,,
273,06/17/24 11:15:00 AM,6.28,27.14,,,,
274,06/17/24 11:30:00 AM,6.26,27.38,,,,
275,06/17/24 11:45:00 AM,6.23,27.52,,,,
276,06/17/24 12:00:00 PM,6.19,27.80,,,,
277,06/17/24 12:15:00 PM,6.17,28.08,,,,
278,06/17/24 12:30:00 PM,6.11,28.32,,,,
279,06/17/24 12:45:00 PM,6.09,28.60,,,,
280,06/17/24 01:00:00 PM,6.09,28.78,,,,
281,06/17/24 01:15:00 PM,6.06,28.96,,,,
282,06/17/24 01:30:00 PM,6.03,29.16,,,,
283,06/17/24 01:45:00 PM,6.04,29.22,,,,
284,06/17/24 02:00:00 PM,6.01,29.36,,,,
285,06/17/24 02:15:00 PM,6.00,29.48,,,,
286,06/17/24 02:30:00 PM,5.99,29.60,,,,
287,06/17/24 02:45:00 PM,5.98,29.68,,,,
288,06/17/24 03:00:00 PM,5.97,29.72,,,,
289,06/17/24 03:15:00 PM,5.97,29.72,,,,
290,06/17/24 03:30:00 PM,5.98,29.68,,,,
291,06/17/24 03:45:00 PM,5.99,29.56,,,,
292,06/17/24 04:00:00 PM,6.00,29.42,,,,
293,06/17/24 04:15:00 PM,6.03,29.22,,,,
294,06/17/24 04:30:00 PM,6.05,29.00,,,,
295,06/17/24 04:45:00 PM,6.07,28.76,,,,
296,06/17/24 05:00:00 PM,6.10,28.50,,,,
297,06/17/24 05:15:00 PM,6.12,28.14,,,,
298,06/17/24 05:30:00 PM,6.15,27.82,,,,
299,06/17/24 05:45:00 PM,6.19,27.40,,,,
300,06/17/24 06:00:00 PM,6.25,27.10,,,,
301,06/17/24 06:15:00 PM,6.27,26.84,,,,
302,06/17/24 06:30:00 PM,6.31,26.52,,,,
303,06/17/24 06:45:00 PM,6.35,26.26,,,,
304,06/17/24 07:00:00 PM,6.38,26.00,,,,
305,06/17/24 07:15:00 PM,6.39,25.84,,,,
306,06/17/24 07:30:00 PM,6.42,25.74,,,,
307,06/17/24 07:45:00 PM,6.44,25.62,,,,
308,06/17/24 08:00:00 PM,6.45,25.48,,,,
309,06/17/24 08:15:00 PM,6.47,25.38,,,,
310,06/17/24 08:30:00 PM,6.48,25.28,,,,
311,06/17/24 08:45:00 PM,6.48,25.26,,,,
312,06/17/24 09:00:00 PM,6.48,25.16,,,,
313,06/17/24 09:15:00 PM,6.49,25.02,,,,
314,06/17/24 09:30:00 PM,6.50,24.98,,,,
315,06/17/24 09:45:00 PM,6.51,24.90,,,,
316,06/17/24 10:00:00 PM,6.54,24.88,,,,
317,06/17/24 10:15:00 PM,6.55,24.80,,,,
318,06/17/24 10:30:00 PM,6.53,24.70,,,,
319,06/17/24 10:45:00 PM,6.56,24.64,,,,
320,06/17/24 11:00:00 PM,6.56,24.58,,,,
321,06/17/24 11:15:00 PM,6.57,24.54,,,,
322,06/17/24 11:30:00 PM,6.57,24.44,,,,
323,06/17/24 11:45:00 PM,6.58,24.34,,,,
324,06/18/24 12:00:00 AM,6.60,24.26,,,,
325,06/18/24 12:15:00 AM,6.60,24.18,,,,
326,06/18/24 12:30:00 AM,6.60,24.12,,,,
327,06/18/24 12:45:00 AM,6.62,24.04,,,,
328,06/18/24 01:00:00 AM,6.64,23.98,,,,
329,06/18/24 01:15:00 AM,6.63,23.90,,,,
330,06/18/24 01:30:00 AM,6.64,23.80,,,,
331,06/18/24 01:45:00 AM,6.65,23.68,,,,
332,06/18/24 02:00:00 AM,6.65,23.62,,,,
333,06/18/24 02:15:00 AM,6.66,23.56,,,,
334,06/18/24 02:30:00 AM,6.68,23.52,,,,
335,06/18/24 02:45:00 AM,6.68,23.46,,,,
336,06/18/24 03:00:00 AM,6.69,23.40,,,,
337,06/18/24 03:15:00 AM,6.69,23.36,,,,
338,06/18/24 03:30:00 AM,6.69,23.34,,,,
339,06/18/24 03:45:00 AM,6.70,23.30,,,,
340,06/18/24 04:00:00 AM,6.70,23.22,,,,
341,06/18/24 04:15:00 AM,6.71,23.18,,,,
342,06/18/24 04:30:00 AM,6.73,23.12,,,,
343,06/18/24 04:45:00 AM,6.74,23.06,,,,
344,06/18/24 05:00:00 AM,6.74,22.96,,,,
345,06/18/24 05:15:00 AM,6.75,22.88,,,,
346,06/18/24 05:30:00 AM,6.75,22.82,,,,
347,06/18/24 05:45:00 AM,6.75,22.78,,,,
348,06/18/24 06:00:00 AM,6.76,22.78,,,,
349,06/18/24 06:15:00 AM,6.76,22.82,,,,
350,06/18/24 06:30:00 AM,6.75,22.86,,,,
351,06/18/24 06:45:00 AM,6.75,22.94,,,,
352,06/18/24 07:00:00 AM,6.75,23.02,,,,
353,06/18/24 07:15:00 AM,6.75,23.10,,,,
354,06/18/24 07:30:00 AM,6.73,23.22,,,,
355,06/18/24 07:45:00 AM,6.72,23.34,,,,
356,06/18/24 08:00:00 AM,6.70,23.48,,,,
357,06/18/24 08:15:00 AM,6.68,23.66,,,,
358,06/18/24 08:30:00 AM,6.66,23.86,,,,
359,06/18/24 08:45:00 AM,6.64,24.10,,,,
360,06/18/24 09:00:00 AM,6.61,24.38,,,,
361,06/18/24 09:15:00 AM,6.57,24.68,,,,
362,06/18/24 09:30:00 AM,6.54,25.02,,,,
363,06/18/24 09:45:00 AM,6.50,25.36,,,,
364,06/18/24 10:00:00 AM,6.47,25.72,,,,
365,06/18/24 10:15:00 AM,6.43,26.18,,,,
366,06/18/24 10:30:00 AM,6.37,26.48,,,,
367,06/18/24 10:45:00 AM,6.37,26.80,,,,
368,06/18/24 11:00:00 AM,6.30,27.04,,,,
369,06/18/24 11:15:00 AM,6.27,27.28,,,,
370,06/18/24 11:30:00 AM,6.26,27.44,,,,
371,06/18/24 11:45:00 AM,6.22,27.68,,,,
372,06/18/24 12:00:00 PM,6.23,27.74,,,,
373,06/18/24 12:15:00 PM,6.19,27.94,,,,
374,06/18/24 12:30:00 PM,6.16,28.14,,,,
375,06/18/24 12:45:00 PM,6.13,28.32,,,,
376,06/18/24 01:00:00 PM,6.14,28.52,,,,
377,06/18/24 01:15:00 PM,6.09,28.80,,,,
378,06/18/24 01:30:00 PM,6.08,28.88,,,,
379,06/18/24 01:45:00 PM,6.08,29.04,,,,
380,06/18/24 02:00:00 PM,6.05,29.10,,,,
381,06/18/24 02:15:00 PM,6.05,29.14,,,,
382,06/18/24 02:30:00 PM,6.06,29.22,,,,
383,06/18/24 02:45:00 PM,6.03,29.32,,,,
384,06/18/24 03:00:00 PM,6.02,29.40,,,,
385,06/18/24 03:15:00 PM,6.02,29.42,,,,
386,06/18/24 03:30:00 PM,6.01,29.42,,,,
387,06/18/24 03:45:00 PM,6.05,29.20,,,,
388,06/18/24 04:00:00 PM,6.08,28.94,,,,
389,06/18/24 04:15:00 PM,6.10,28.62,,,,
390,06/18/24 04:30:00 PM,6.12,28.38,,,,
391,06/18/24 04:45:00 PM,6.14,28.14,,,,
392,06/18/24 05:00:00 PM,6.18,27.90,,,,
393,06/18/24 05:15:00 PM,6.19,27.56,,,,
394,06/18/24 05:30:00 PM,6.23,27.30,,,,
395,06/18/24 05:45:00 PM,6.26,27.06,,,,
396,06/18/24 06:00:00 PM,6.29,26.86,,,,
397,06/18/24 06:15:00 PM,6.31,26.66,,,,
398,06/18/24 06:30:00 PM,6.34,26.48,,,,
399,06/18/24 06:45:00 PM,6.37,26.32,,,,
400,06/18/24 07:00:00 PM,6.38,26.16,,,,
401,06/18/24 07:15:00 PM,6.40,26.00,,,,
402,06/18/24 07:30:00 PM,6.41,25.84,,,,
403,06/18/24 07:45:00 PM,6.42,25.70,,,,
404,06/18/24 08:00:00 PM,6.44,25.60,,,,
405,06/18/24 08:15:00 PM,6.46,25.48,,,,
406,06/18/24 08:30:00 PM,6.47,25.34,,,,
407,06/18/24 08:45:00 PM,6.47,25.22,,,,
408,06/18/24 09:00:00 PM,6.50,25.08,,,,
409,06/18/24 09:15:00 PM,6.50,24.98,,,,
410,06/18/24 09:30:00 PM,6.52,24.88,,,,
411,06/18/24 09:45:00 PM,6.54,24.80,,,,
412,06/18/24 10:00:00 PM,6.54,24.76,,,,
413,06/18/24 10:15:00 PM,6.53,24.74,,,,
414,06/18/24 10:30:00 PM,6.55,24.70,,,,
415,06/18/24 10:45:00 PM,6.56,24.64,,,,
416,06/18/24 11:00:00 PM,6.56,24.60,,,,
417,06/18/24 11:15:00 PM,6.56,24.58,,,,
418,06/18/24 11:30:00 PM,6.56,24.54,,,,
419,06/18/24 11:45:00 PM,6.56,24.52,,,,
420,06/19/24 12:00:00 AM,6.57,24.46,,,,
421,06/19/24 12:15:00 AM,6.57,24.44,,,,
422,06/19/24 12:30:00 AM,6.57,24.40,,,,
423,06/19/24 12:45:00 AM,6.58,24.38,,,,
424,06/19/24 01:00:00 AM,6.58,24.38,,,,
425,06/19/24 01:15:00 AM,6.57,24.36,,,,
426,06/19/24 01:30:00 AM,6.58,24.30,,,,
427,06/19/24 01:45:00 AM,6.59,24.20,,,,
428,06/19/24 02:00:00 AM,6.61,24.12,,,,
429,06/19/24 02:15:00 AM,6.62,24.04,,,,
430,06/19/24 02:30:00 AM,6.62,23.98,,,,
431,06/19/24 02:45:00 AM,6.63,23.88,,,,
432,06/19/24 03:00:00 AM,6.65,23.80,,,,
433,06/19/24 03:15:00 AM,6.66,23.68,,,,
434,06/19/24 03:30:00 AM,6.67,23.58,,,,
435,06/19/24 03:45:00 AM,6.68,23.54,,,,
436,06/19/24 04:00:00 AM,6.68,23.50,,,,
437,06/19/24 04:15:00 AM,6.69,23.48,,,,
438,06/19/24 04:30:00 AM,6.69,23.46,,,,
439,06/19/24 04:45:00 AM,6.69,23.40,,,,
440,06/19/24 05:00:00 AM,6.71,23.36,,,,
441,06/19/24 05:15:00 AM,6.71,23.32,,,,
442,06/19/24 05:30:00 AM,6.70,23.30,,,,
443,06/19/24 05:45:00 AM,6.72,23.28,,,,
444,06/19/24 06:00:00 AM,6.72,23.24,,,,
445,06/19/24 06:15:00 AM,6.73,23.22,,,,
446,06/19/24 06:30:00 AM,6.73,23.24,,,,
447,06/19/24 06:45:00 AM,6.73,23.28,,,,
448,06/19/24 07:00:00 AM,6.72,23.36,,,,
449,06/19/24 07:15:00 AM,6.73,23.46,,,,
450,06/19/24 07:30:00 AM,6.69,23.58,,,,
451,06/19/24 07:45:00 AM,6.67,23.70,,,,
452,06/19/24 08:00:00 AM,6.67,23.92,,,,
453,06/19/24 08:15:00 AM,6.63,24.22,,,,
454,06/19/24 08:30:00 AM,6.59,24.58,,,,
455,06/19/24 08:45:00 AM,6.57,24.86,,,,
456,06/19/24 09:00:00 AM,6.56,25.02,,,,
457,06/19/24 09:15:00 AM,6.54,25.20,,,,
458,06/19/24 09:30:00 AM,6.52,25.30,,,,
459,06/19/24 09:45:00 AM,6.49,25.42,,,,
460,06/19/24 10:00:00 AM,6.48,25.56,,,,
461,06/19/24 10:15:00 AM,6.47,25.62,,,,
462,06/19/24 10:30:00 AM,6.46,25.70,,,,
463,06/19/24 10:45:00 AM,6.46,25.78,,,,
464,06/19/24 11:00:00 AM,6.45,25.86,,,,
465,06/19/24 11:15:00 AM,6.43,25.88,,,,
466,06/19/24 11:30:00 AM,6.41,25.90,,,,
467,06/19/24 11:45:00 AM,6.41,25.98,,,,
468,06/19/24 12:00:00 PM,6.39,26.08,,,,
469,06/19/24 12:15:00 PM,6.39,26.20,,,,
470,06/19/24 12:30:00 PM,6.38,26.28,,,,
