"Plot Title: CANUACON061524"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20835570, SEN S/N: 20835570)","Temp, °C (LGR S/N: 20835570, SEN S/N: 20835570)","Coupler Detached (LGR S/N: 20835570)","Coupler Attached (LGR S/N: 20835570)","Host Connected (LGR S/N: 20835570)","Stopped (LGR S/N: 20835570)","End Of File (LGR S/N: 20835570)"
39,06/15/24 08:15:00 PM,75.2,24.68,,,,,
40,06/15/24 08:30:00 PM,75.5,24.66,,,,,
41,06/15/24 08:45:00 PM,76.1,24.65,,,,,
42,06/15/24 09:00:00 PM,76.0,24.64,,,,,
43,06/15/24 09:15:00 PM,76.1,24.63,,,,,
44,06/15/24 09:30:00 PM,76.2,24.63,,,,,
45,06/15/24 09:45:00 PM,76.5,24.62,,,,,
46,06/15/24 10:00:00 PM,76.6,24.60,,,,,
47,06/15/24 10:15:00 PM,76.7,24.60,,,,,
48,06/15/24 10:30:00 PM,76.7,24.59,,,,,
49,06/15/24 10:45:00 PM,77.4,24.57,,,,,
50,06/15/24 11:00:00 PM,76.6,24.56,,,,,
51,06/15/24 11:15:00 PM,76.9,24.56,,,,,
52,06/15/24 11:30:00 PM,77.3,24.55,,,,,
53,06/15/24 11:45:00 PM,76.9,24.53,,,,,
54,06/16/24 12:00:00 AM,77.5,24.52,,,,,
55,06/16/24 12:15:00 AM,78.5,24.51,,,,,
56,06/16/24 12:30:00 AM,79.0,24.50,,,,,
57,06/16/24 12:45:00 AM,77.8,24.49,,,,,
58,06/16/24 01:00:00 AM,71.9,24.45,,,,,
59,06/16/24 01:15:00 AM,65.2,24.39,,,,,
60,06/16/24 01:30:00 AM,59.0,24.38,,,,,
61,06/16/24 01:45:00 AM,43.3,24.19,,,,,
62,06/16/24 02:00:00 AM,41.4,24.23,,,,,
63,06/16/24 02:15:00 AM,31.9,24.16,,,,,
64,06/16/24 02:30:00 AM,48.2,24.09,,,,,
65,06/16/24 02:45:00 AM,18.1,24.07,,,,,
66,06/16/24 03:00:00 AM,18.4,24.04,,,,,
67,06/16/24 03:15:00 AM,15.4,24.06,,,,,
68,06/16/24 03:30:00 AM,16.1,24.07,,,,,
69,06/16/24 03:45:00 AM,19.9,24.09,,,,,
70,06/16/24 04:00:00 AM,25.2,24.10,,,,,
71,06/16/24 04:15:00 AM,29.7,24.10,,,,,
72,06/16/24 04:30:00 AM,32.4,24.10,,,,,
73,06/16/24 04:45:00 AM,16.9,24.10,,,,,
74,06/16/24 05:00:00 AM,20.1,24.09,,,,,
75,06/16/24 05:15:00 AM,19.7,24.09,,,,,
76,06/16/24 05:30:00 AM,18.5,24.08,,,,,
77,06/16/24 05:45:00 AM,29.6,24.08,,,,,
78,06/16/24 06:00:00 AM,36.8,24.06,,,,,
79,06/16/24 06:15:00 AM,29.6,24.04,,,,,
80,06/16/24 06:30:00 AM,39.8,24.03,,,,,
81,06/16/24 06:45:00 AM,42.4,24.02,,,,,
82,06/16/24 07:00:00 AM,44.1,24.01,,,,,
83,06/16/24 07:15:00 AM,46.3,24.02,,,,,
84,06/16/24 07:30:00 AM,48.4,24.01,,,,,
85,06/16/24 07:45:00 AM,50.2,24.01,,,,,
86,06/16/24 08:00:00 AM,50.8,24.01,,,,,
87,06/16/24 08:15:00 AM,51.3,24.02,,,,,
88,06/16/24 08:30:00 AM,52.2,24.01,,,,,
89,06/16/24 08:45:00 AM,53.0,24.02,,,,,
90,06/16/24 09:00:00 AM,55.4,24.02,,,,,
91,06/16/24 09:15:00 AM,57.3,24.02,,,,,
92,06/16/24 09:30:00 AM,57.0,24.02,,,,,
93,06/16/24 09:45:00 AM,57.0,24.03,,,,,
94,06/16/24 10:00:00 AM,57.1,24.02,,,,,
95,06/16/24 10:15:00 AM,57.0,24.03,,,,,
96,06/16/24 10:30:00 AM,56.8,24.04,,,,,
97,06/16/24 10:45:00 AM,58.0,24.04,,,,,
98,06/16/24 11:00:00 AM,58.6,24.06,,,,,
99,06/16/24 11:15:00 AM,58.6,24.07,,,,,
100,06/16/24 11:30:00 AM,59.6,24.08,,,,,
101,06/16/24 11:45:00 AM,60.2,24.09,,,,,
102,06/16/24 12:00:00 PM,61.5,24.10,,,,,
103,06/16/24 12:15:00 PM,62.0,24.13,,,,,
104,06/16/24 12:30:00 PM,62.7,24.14,,,,,
105,06/16/24 12:45:00 PM,63.8,24.16,,,,,
106,06/16/24 01:00:00 PM,64.0,24.17,,,,,
107,06/16/24 01:15:00 PM,64.7,24.19,,,,,
108,06/16/24 01:30:00 PM,65.1,24.20,,,,,
109,06/16/24 01:45:00 PM,65.5,24.21,,,,,
110,06/16/24 02:00:00 PM,65.8,24.21,,,,,
111,06/16/24 02:15:00 PM,66.5,24.22,,,,,
112,06/16/24 02:30:00 PM,65.8,24.23,,,,,
113,06/16/24 02:45:00 PM,66.9,24.23,,,,,
114,06/16/24 03:00:00 PM,66.7,24.23,,,,,
115,06/16/24 03:15:00 PM,68.4,24.25,,,,,
116,06/16/24 03:30:00 PM,68.0,24.25,,,,,
117,06/16/24 03:45:00 PM,68.7,24.25,,,,,
118,06/16/24 04:00:00 PM,68.7,24.25,,,,,
119,06/16/24 04:15:00 PM,69.1,24.25,,,,,
120,06/16/24 04:30:00 PM,69.7,24.25,,,,,
121,06/16/24 04:45:00 PM,70.6,24.25,,,,,
122,06/16/24 05:00:00 PM,70.9,24.23,,,,,
123,06/16/24 05:15:00 PM,71.6,24.23,,,,,
124,06/16/24 05:30:00 PM,71.4,24.22,,,,,
125,06/16/24 05:45:00 PM,72.4,24.22,,,,,
126,06/16/24 06:00:00 PM,71.8,24.21,,,,,
127,06/16/24 06:15:00 PM,71.8,24.20,,,,,
128,06/16/24 06:30:00 PM,71.8,24.19,,,,,
129,06/16/24 06:45:00 PM,72.0,24.17,,,,,
130,06/16/24 07:00:00 PM,71.4,24.16,,,,,
131,06/16/24 07:15:00 PM,72.2,24.15,,,,,
132,06/16/24 07:30:00 PM,72.8,24.14,,,,,
133,06/16/24 07:45:00 PM,73.3,24.13,,,,,
134,06/16/24 08:00:00 PM,72.9,24.10,,,,,
135,06/16/24 08:15:00 PM,73.6,24.09,,,,,
136,06/16/24 08:30:00 PM,74.4,24.08,,,,,
137,06/16/24 08:45:00 PM,74.3,24.08,,,,,
138,06/16/24 09:00:00 PM,74.9,24.07,,,,,
139,06/16/24 09:15:00 PM,74.9,24.03,,,,,
140,06/16/24 09:30:00 PM,75.1,24.03,,,,,
141,06/16/24 09:45:00 PM,75.7,24.01,,,,,
142,06/16/24 10:00:00 PM,75.8,24.00,,,,,
143,06/16/24 10:15:00 PM,75.8,23.98,,,,,
144,06/16/24 10:30:00 PM,76.1,23.97,,,,,
145,06/16/24 10:45:00 PM,76.4,23.95,,,,,
146,06/16/24 11:00:00 PM,76.8,23.95,,,,,
147,06/16/24 11:15:00 PM,77.0,23.94,,,,,
148,06/16/24 11:30:00 PM,78.0,23.92,,,,,
149,06/16/24 11:45:00 PM,78.5,23.91,,,,,
150,06/17/24 12:00:00 AM,78.5,23.90,,,,,
151,06/17/24 12:15:00 AM,79.0,23.89,,,,,
152,06/17/24 12:30:00 AM,79.3,23.86,,,,,
153,06/17/24 12:45:00 AM,79.3,23.86,,,,,
154,06/17/24 01:00:00 AM,80.1,23.84,,,,,
155,06/17/24 01:15:00 AM,80.4,23.83,,,,,
156,06/17/24 01:30:00 AM,80.9,23.82,,,,,
157,06/17/24 01:45:00 AM,82.5,23.80,,,,,
158,06/17/24 02:00:00 AM,81.4,23.79,,,,,
159,06/17/24 02:15:00 AM,81.7,23.77,,,,,
160,06/17/24 02:30:00 AM,82.0,23.76,,,,,
161,06/17/24 02:45:00 AM,82.2,23.76,,,,,
162,06/17/24 03:00:00 AM,82.3,23.73,,,,,
163,06/17/24 03:15:00 AM,82.5,23.72,,,,,
164,06/17/24 03:30:00 AM,82.6,23.71,,,,,
165,06/17/24 03:45:00 AM,82.8,23.69,,,,,
166,06/17/24 04:00:00 AM,82.8,23.67,,,,,
167,06/17/24 04:15:00 AM,83.0,23.66,,,,,
168,06/17/24 04:30:00 AM,83.4,23.64,,,,,
169,06/17/24 04:45:00 AM,84.0,23.61,,,,,
170,06/17/24 05:00:00 AM,84.3,23.60,,,,,
171,06/17/24 05:15:00 AM,84.6,23.58,,,,,
172,06/17/24 05:30:00 AM,84.5,23.55,,,,,
173,06/17/24 05:45:00 AM,84.8,23.53,,,,,
174,06/17/24 06:00:00 AM,84.9,23.52,,,,,
175,06/17/24 06:15:00 AM,85.0,23.51,,,,,
176,06/17/24 06:30:00 AM,85.2,23.48,,,,,
177,06/17/24 06:45:00 AM,85.5,23.48,,,,,
178,06/17/24 07:00:00 AM,85.7,23.47,,,,,
179,06/17/24 07:15:00 AM,85.6,23.46,,,,,
180,06/17/24 07:30:00 AM,85.9,23.47,,,,,
181,06/17/24 07:45:00 AM,86.1,23.46,,,,,
182,06/17/24 08:00:00 AM,86.1,23.47,,,,,
183,06/17/24 08:15:00 AM,86.3,23.48,,,,,
184,06/17/24 08:30:00 AM,86.9,23.51,,,,,
185,06/17/24 08:45:00 AM,87.0,23.53,,,,,
186,06/17/24 09:00:00 AM,87.4,23.57,,,,,
187,06/17/24 09:15:00 AM,87.9,23.66,,,,,
188,06/17/24 09:30:00 AM,88.2,23.72,,,,,
189,06/17/24 09:45:00 AM,88.3,23.78,,,,,
190,06/17/24 10:00:00 AM,89.0,23.84,,,,,
191,06/17/24 10:15:00 AM,89.3,23.89,,,,,
192,06/17/24 10:30:00 AM,89.3,23.94,,,,,
193,06/17/24 10:45:00 AM,89.5,24.00,,,,,
194,06/17/24 11:00:00 AM,90.0,24.04,,,,,
195,06/17/24 11:15:00 AM,90.3,24.13,,,,,
196,06/17/24 11:30:00 AM,90.8,24.21,,,,,
197,06/17/24 11:45:00 AM,90.9,24.31,,,,,
198,06/17/24 12:00:00 PM,91.4,24.39,,,,,
199,06/17/24 12:15:00 PM,91.6,24.44,,,,,
200,06/17/24 12:30:00 PM,92.0,24.45,,,,,
201,06/17/24 12:45:00 PM,92.2,24.46,,,,,
202,06/17/24 01:00:00 PM,92.7,24.49,,,,,
203,06/17/24 01:15:00 PM,93.2,24.50,,,,,
204,06/17/24 01:30:00 PM,93.1,24.50,,,,,
205,06/17/24 01:45:00 PM,93.7,24.47,,,,,
206,06/17/24 02:00:00 PM,93.9,24.46,,,,,
207,06/17/24 02:15:00 PM,94.2,24.46,,,,,
208,06/17/24 02:30:00 PM,94.3,24.46,,,,,
209,06/17/24 02:45:00 PM,94.6,24.46,,,,,
210,06/17/24 03:00:00 PM,94.6,24.47,,,,,
211,06/17/24 03:15:00 PM,94.2,24.47,,,,,
212,06/17/24 03:30:00 PM,94.5,24.49,,,,,
213,06/17/24 03:45:00 PM,94.5,24.49,,,,,
214,06/17/24 04:00:00 PM,94.7,24.50,,,,,
215,06/17/24 04:15:00 PM,94.1,24.50,,,,,
216,06/17/24 04:30:00 PM,94.1,24.50,,,,,
217,06/17/24 04:45:00 PM,94.5,24.50,,,,,
218,06/17/24 05:00:00 PM,94.6,24.50,,,,,
219,06/17/24 05:15:00 PM,94.7,24.50,,,,,
220,06/17/24 05:30:00 PM,95.2,24.49,,,,,
221,06/17/24 05:45:00 PM,95.4,24.49,,,,,
222,06/17/24 06:00:00 PM,99.2,24.49,,,,,
223,06/17/24 06:15:00 PM,101.9,24.47,,,,,
224,06/17/24 06:30:00 PM,104.2,24.49,,,,,
225,06/17/24 06:45:00 PM,105.3,24.47,,,,,
226,06/17/24 07:00:00 PM,106.1,24.47,,,,,
227,06/17/24 07:15:00 PM,106.5,24.47,,,,,
228,06/17/24 07:30:00 PM,106.8,24.47,,,,,
229,06/17/24 07:45:00 PM,107.0,24.47,,,,,
230,06/17/24 08:00:00 PM,107.9,24.47,,,,,
231,06/17/24 08:15:00 PM,108.5,24.46,,,,,
232,06/17/24 08:30:00 PM,108.7,24.46,,,,,
233,06/17/24 08:45:00 PM,109.2,24.45,,,,,
234,06/17/24 09:00:00 PM,109.6,24.45,,,,,
235,06/17/24 09:15:00 PM,109.8,24.45,,,,,
236,06/17/24 09:30:00 PM,110.0,24.44,,,,,
237,06/17/24 09:45:00 PM,110.4,24.44,,,,,
238,06/17/24 10:00:00 PM,110.6,24.43,,,,,
239,06/17/24 10:15:00 PM,110.7,24.43,,,,,
240,06/17/24 10:30:00 PM,110.8,24.41,,,,,
241,06/17/24 10:45:00 PM,110.9,24.41,,,,,
242,06/17/24 11:00:00 PM,111.1,24.41,,,,,
243,06/17/24 11:15:00 PM,110.1,24.40,,,,,
244,06/17/24 11:30:00 PM,110.1,24.40,,,,,
245,06/17/24 11:45:00 PM,110.4,24.39,,,,,
246,06/18/24 12:00:00 AM,110.5,24.39,,,,,
247,06/18/24 12:15:00 AM,110.6,24.38,,,,,
248,06/18/24 12:30:00 AM,110.5,24.37,,,,,
249,06/18/24 12:45:00 AM,110.7,24.35,,,,,
250,06/18/24 01:00:00 AM,110.9,24.34,,,,,
251,06/18/24 01:15:00 AM,111.0,24.32,,,,,
252,06/18/24 01:30:00 AM,111.3,24.31,,,,,
253,06/18/24 01:45:00 AM,111.3,24.29,,,,,
254,06/18/24 02:00:00 AM,111.3,24.28,,,,,
255,06/18/24 02:15:00 AM,111.4,24.27,,,,,
256,06/18/24 02:30:00 AM,111.5,24.26,,,,,
257,06/18/24 02:45:00 AM,111.9,24.25,,,,,
258,06/18/24 03:00:00 AM,112.4,24.23,,,,,
259,06/18/24 03:15:00 AM,112.5,24.22,,,,,
260,06/18/24 03:30:00 AM,112.7,24.20,,,,,
261,06/18/24 03:45:00 AM,112.4,24.19,,,,,
262,06/18/24 04:00:00 AM,112.1,24.17,,,,,
263,06/18/24 04:15:00 AM,112.0,24.15,,,,,
264,06/18/24 04:30:00 AM,112.2,24.14,,,,,
265,06/18/24 04:45:00 AM,112.1,24.12,,,,,
266,06/18/24 05:00:00 AM,112.2,24.09,,,,,
267,06/18/24 05:15:00 AM,112.1,24.08,,,,,
268,06/18/24 05:30:00 AM,112.6,24.07,,,,,
269,06/18/24 05:45:00 AM,113.0,24.06,,,,,
270,06/18/24 06:00:00 AM,112.7,24.04,,,,,
271,06/18/24 06:15:00 AM,111.7,24.03,,,,,
272,06/18/24 06:30:00 AM,111.7,24.03,,,,,
273,06/18/24 06:45:00 AM,111.7,24.02,,,,,
274,06/18/24 07:00:00 AM,111.8,24.03,,,,,
275,06/18/24 07:15:00 AM,111.2,24.03,,,,,
276,06/18/24 07:30:00 AM,111.4,24.03,,,,,
277,06/18/24 07:45:00 AM,111.3,24.04,,,,,
278,06/18/24 08:00:00 AM,111.7,24.06,,,,,
279,06/18/24 08:15:00 AM,111.8,24.08,,,,,
280,06/18/24 08:30:00 AM,111.9,24.10,,,,,
281,06/18/24 08:45:00 AM,111.6,24.13,,,,,
282,06/18/24 09:00:00 AM,111.9,24.17,,,,,
283,06/18/24 09:15:00 AM,112.4,24.28,,,,,
284,06/18/24 09:30:00 AM,112.9,24.39,,,,,
285,06/18/24 09:45:00 AM,113.0,24.39,,,,,
286,06/18/24 10:00:00 AM,112.9,24.33,,,,,
287,06/18/24 10:15:00 AM,113.1,24.39,,,,,
288,06/18/24 10:30:00 AM,113.5,24.43,,,,,
289,06/18/24 10:45:00 AM,113.8,24.49,,,,,
290,06/18/24 11:00:00 AM,114.5,24.59,,,,,
291,06/18/24 11:15:00 AM,114.8,24.64,,,,,
292,06/18/24 11:30:00 AM,114.7,24.64,,,,,
293,06/18/24 11:45:00 AM,115.2,24.69,,,,,
294,06/18/24 12:00:00 PM,115.7,24.78,,,,,
295,06/18/24 12:15:00 PM,116.2,24.90,,,,,
296,06/18/24 12:30:00 PM,116.1,24.96,,,,,
297,06/18/24 12:45:00 PM,116.3,24.96,,,,,
298,06/18/24 01:00:00 PM,116.6,24.95,,,,,
299,06/18/24 01:15:00 PM,116.6,24.93,,,,,
300,06/18/24 01:30:00 PM,116.4,24.90,,,,,
301,06/18/24 01:45:00 PM,116.7,24.90,,,,,
302,06/18/24 02:00:00 PM,117.0,24.90,,,,,
303,06/18/24 02:15:00 PM,117.1,24.89,,,,,
304,06/18/24 02:30:00 PM,117.2,24.89,,,,,
305,06/18/24 02:45:00 PM,117.4,24.87,,,,,
306,06/18/24 03:00:00 PM,117.4,24.86,,,,,
307,06/18/24 03:15:00 PM,117.5,24.83,,,,,
308,06/18/24 03:30:00 PM,117.6,24.82,,,,,
309,06/18/24 03:45:00 PM,117.8,24.80,,,,,
310,06/18/24 04:00:00 PM,118.2,24.80,,,,,
311,06/18/24 04:15:00 PM,118.2,24.78,,,,,
312,06/18/24 04:30:00 PM,118.2,24.76,,,,,
313,06/18/24 04:45:00 PM,118.5,24.75,,,,,
314,06/18/24 05:00:00 PM,118.8,24.74,,,,,
315,06/18/24 05:15:00 PM,119.0,24.72,,,,,
316,06/18/24 05:30:00 PM,119.2,24.72,,,,,
317,06/18/24 05:45:00 PM,119.4,24.71,,,,,
318,06/18/24 06:00:00 PM,119.5,24.70,,,,,
319,06/18/24 06:15:00 PM,120.0,24.70,,,,,
320,06/18/24 06:30:00 PM,120.3,24.69,,,,,
321,06/18/24 06:45:00 PM,120.5,24.69,,,,,
322,06/18/24 07:00:00 PM,120.6,24.68,,,,,
323,06/18/24 07:15:00 PM,120.9,24.68,,,,,
324,06/18/24 07:30:00 PM,121.0,24.66,,,,,
325,06/18/24 07:45:00 PM,121.3,24.66,,,,,
326,06/18/24 08:00:00 PM,121.3,24.65,,,,,
327,06/18/24 08:15:00 PM,121.6,24.65,,,,,
328,06/18/24 08:30:00 PM,121.7,24.64,,,,,
329,06/18/24 08:45:00 PM,122.1,24.64,,,,,
330,06/18/24 09:00:00 PM,122.1,24.63,,,,,
331,06/18/24 09:15:00 PM,122.3,24.62,,,,,
332,06/18/24 09:30:00 PM,122.0,24.60,,,,,
333,06/18/24 09:45:00 PM,122.6,24.60,,,,,
334,06/18/24 10:00:00 PM,122.5,24.59,,,,,
335,06/18/24 10:15:00 PM,122.5,24.58,,,,,
336,06/18/24 10:30:00 PM,122.4,24.57,,,,,
337,06/18/24 10:45:00 PM,120.8,24.57,,,,,
338,06/18/24 11:00:00 PM,120.7,24.56,,,,,
339,06/18/24 11:15:00 PM,119.9,24.55,,,,,
340,06/18/24 11:30:00 PM,120.3,24.52,,,,,
341,06/18/24 11:45:00 PM,121.2,24.52,,,,,
342,06/19/24 12:00:00 AM,121.3,24.51,,,,,
343,06/19/24 12:15:00 AM,121.4,24.50,,,,,
344,06/19/24 12:30:00 AM,121.3,24.50,,,,,
345,06/19/24 12:45:00 AM,121.4,24.49,,,,,
346,06/19/24 01:00:00 AM,121.4,24.49,,,,,
347,06/19/24 01:15:00 AM,121.7,24.47,,,,,
348,06/19/24 01:30:00 AM,122.1,24.47,,,,,
349,06/19/24 01:45:00 AM,120.2,24.46,,,,,
350,06/19/24 02:00:00 AM,120.6,24.45,,,,,
351,06/19/24 02:15:00 AM,120.7,24.45,,,,,
352,06/19/24 02:30:00 AM,120.7,24.44,,,,,
353,06/19/24 02:45:00 AM,121.1,24.43,,,,,
354,06/19/24 03:00:00 AM,121.2,24.41,,,,,
355,06/19/24 03:15:00 AM,121.5,24.39,,,,,
356,06/19/24 03:30:00 AM,121.6,24.38,,,,,
357,06/19/24 03:45:00 AM,121.8,24.37,,,,,
358,06/19/24 04:00:00 AM,122.2,24.34,,,,,
359,06/19/24 04:15:00 AM,122.2,24.33,,,,,
360,06/19/24 04:30:00 AM,122.7,24.32,,,,,
361,06/19/24 04:45:00 AM,122.6,24.31,,,,,
362,06/19/24 05:00:00 AM,122.6,24.29,,,,,
363,06/19/24 05:15:00 AM,121.7,24.28,,,,,
364,06/19/24 05:30:00 AM,121.6,24.26,,,,,
365,06/19/24 05:45:00 AM,121.9,24.25,,,,,
366,06/19/24 06:00:00 AM,123.6,24.23,,,,,
367,06/19/24 06:15:00 AM,121.6,24.22,,,,,
368,06/19/24 06:30:00 AM,121.6,24.21,,,,,
369,06/19/24 06:45:00 AM,121.8,24.21,,,,,
370,06/19/24 07:00:00 AM,121.9,24.20,,,,,
371,06/19/24 07:15:00 AM,121.9,24.20,,,,,
372,06/19/24 07:30:00 AM,121.9,24.20,,,,,
373,06/19/24 07:45:00 AM,122.0,24.21,,,,,
374,06/19/24 08:00:00 AM,122.2,24.22,,,,,
375,06/19/24 08:15:00 AM,122.5,24.23,,,,,
376,06/19/24 08:30:00 AM,122.7,24.26,,,,,
377,06/19/24 08:45:00 AM,122.7,24.27,,,,,
378,06/19/24 09:00:00 AM,122.9,24.31,,,,,
379,06/19/24 09:15:00 AM,123.4,24.34,,,,,
380,06/19/24 09:30:00 AM,123.4,24.37,,,,,
381,06/19/24 09:45:00 AM,123.5,24.41,,,,,
382,06/19/24 10:00:00 AM,124.0,24.44,,,,,
383,06/19/24 10:15:00 AM,124.3,24.44,,,,,
384,06/19/24 10:30:00 AM,124.4,24.45,,,,,
385,06/19/24 10:45:00 AM,124.4,24.45,,,,,
386,06/19/24 11:00:00 AM,124.5,24.46,,,,,
387,06/19/24 11:15:00 AM,124.4,24.46,,,,,
388,06/19/24 11:30:00 AM,124.6,24.47,,,,,
389,06/19/24 11:45:00 AM,124.6,24.51,,,,,
390,06/19/24 12:00:00 PM,124.6,24.53,,,,,
391,06/19/24 12:15:00 PM,124.8,24.57,,,,,
392,06/19/24 12:30:00 PM,125.1,24.58,,,,,
393,06/19/24 12:45:00 PM,125.2,24.60,,,,,
394,06/19/24 01:00:00 PM,125.6,24.63,,,,,
395,06/19/24 01:15:00 PM,125.7,24.66,,,,,
396,06/19/24 01:30:00 PM,125.9,24.70,,,,,
397,06/19/24 01:45:00 PM,126.4,24.72,,,,,
398,06/19/24 02:00:00 PM,126.3,24.72,,,,,
399,06/19/24 02:15:00 PM,126.4,24.74,,,,,
400,06/19/24 02:30:00 PM,126.7,24.74,,,,,
401,06/19/24 02:45:00 PM,126.7,24.74,,,,,
402,06/19/24 03:00:00 PM,126.8,24.74,,,,,
403,06/19/24 03:15:00 PM,126.7,24.72,,,,,
404,06/19/24 03:30:00 PM,126.8,24.72,,,,,
405,06/19/24 03:45:00 PM,126.9,24.71,,,,,
406,06/19/24 04:00:00 PM,127.0,24.71,,,,,
407,06/19/24 04:15:00 PM,127.0,24.70,,,,,
408,06/19/24 04:30:00 PM,127.0,24.69,,,,,
409,06/19/24 04:45:00 PM,127.3,24.69,,,,,
410,06/19/24 05:00:00 PM,127.6,24.68,,,,,
411,06/19/24 05:15:00 PM,127.7,24.66,,,,,
412,06/19/24 05:30:00 PM,127.8,24.65,,,,,
413,06/19/24 05:45:00 PM,128.2,24.64,,,,,
414,06/19/24 06:00:00 PM,128.2,24.63,,,,,
415,06/19/24 06:15:00 PM,127.9,24.62,,,,,
416,06/19/24 06:30:00 PM,127.9,24.60,,,,,
417,06/19/24 06:45:00 PM,128.2,24.58,,,,,
418,06/19/24 07:00:00 PM,128.4,24.57,,,,,
419,06/19/24 07:15:00 PM,128.6,24.55,,,,,
420,06/19/24 07:30:00 PM,128.8,24.53,,,,,
421,06/19/24 07:45:00 PM,128.8,24.52,,,,,
422,06/19/24 08:00:00 PM,128.9,24.51,,,,,
423,06/19/24 08:15:00 PM,129.0,24.50,,,,,
424,06/19/24 08:30:00 PM,129.1,24.50,,,,,
425,06/19/24 08:45:00 PM,128.9,24.49,,,,,
426,06/19/24 09:00:00 PM,129.1,24.47,,,,,
427,06/19/24 09:15:00 PM,128.9,24.47,,,,,
428,06/19/24 09:30:00 PM,128.8,24.47,,,,,
429,06/19/24 09:45:00 PM,129.1,24.46,,,,,
430,06/19/24 10:00:00 PM,129.2,24.45,,,,,
431,06/19/24 10:15:00 PM,129.3,24.45,,,,,
432,06/19/24 10:30:00 PM,129.4,24.45,,,,,
433,06/19/24 10:45:00 PM,129.3,24.44,,,,,
434,06/19/24 11:00:00 PM,129.4,24.44,,,,,
435,06/19/24 11:15:00 PM,129.4,24.43,,,,,
436,06/19/24 11:30:00 PM,129.6,24.41,,,,,
437,06/19/24 11:45:00 PM,129.4,24.40,,,,,
438,06/20/24 12:00:00 AM,129.1,24.39,,,,,
439,06/20/24 12:15:00 AM,129.1,24.38,,,,,
440,06/20/24 12:30:00 AM,129.3,24.35,,,,,
441,06/20/24 12:45:00 AM,129.5,24.35,,,,,
442,06/20/24 01:00:00 AM,129.7,24.34,,,,,
443,06/20/24 01:15:00 AM,129.7,24.33,,,,,
444,06/20/24 01:30:00 AM,129.8,24.33,,,,,
445,06/20/24 01:45:00 AM,130.0,24.32,,,,,
446,06/20/24 02:00:00 AM,130.2,24.31,,,,,
447,06/20/24 02:15:00 AM,130.4,24.31,,,,,
448,06/20/24 02:30:00 AM,130.1,24.29,,,,,
449,06/20/24 02:45:00 AM,130.6,24.29,,,,,
450,06/20/24 03:00:00 AM,130.7,24.28,,,,,
451,06/20/24 03:15:00 AM,130.7,24.27,,,,,
452,06/20/24 03:30:00 AM,130.6,24.26,,,,,
453,06/20/24 03:45:00 AM,130.5,24.25,,,,,
